No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer
1,2,4.7uF,"C1,C21",C0603,4.7uF,CL10A475KA8NQNC,SAMSUNG(??)
2,4,100nF,"C2,C4,C6,C17",C0603,100nF,CGA0603X7R104K500JT,HRE(??)
3,2,1uF,"C3,C5",C0603,1uF,CGA0603X5R105K160JT,HRE(??)
4,3,10uF 10V,"C8,C14,C16",C0603,10uF 10V,CGA0603X5R106K100JT,HRE(??)
5,2,10uF,"C9,C10",C0805,10uF,CS2012X7R106M100NRE,SAMWHA(??)
6,1,10uF,C11,C0603,10uF,CGA0603X5R106K100JT,HRE(??)
7,1,47uF,C12,CASE-A_3216,47uF,TAJA476K006RNJ,Kyocera AVX
8,2,4.7uF 25V,"C13,C15",C0603,4.7uF 25V,CL10A475KA8NQNC,SAMSUNG(??)
9,1,100nF,C18,C0603,100nF,CC0603KRX7R9BB104,YAGEO(??)
10,1,10uF,C19,CAP-SMD_L3.2-W1.6-RD-C7171,10uF,TAJA106K016RNJ,Kyocera AVX
11,1,4.7uF,C20,CASE-A_3216,4.7uF,TAJA475K016RNJ,Kyocera AVX
12,1,WAFER-PH2.0-2PWB,CN1,CONN-SMD_2P-P2.00_XUNPU_WAFER-PH2.0-2PWB,,WAFER-PH2.0-2PWB,XUNPU(??)
13,3,H5VL10B,"D1,D2,D3",SOD-882_L1.0-W0.6-BI,,H5VL10B,???
14,3,B5819W,"D4,D5,D7",SOD-123_L2.8-W1.8-LS3.7-RD,,B5819W,MDD(?????)
15,1,BZT52C3V3S,D6,SOD-323_L1.8-W1.3-LS2.5-RD,,BZT52C3V3S,CJ(????/??)
16,1,AFC07-S24ECA-00,FPC1,FPC-SMD_AFC07-S24ECA-00,,AFC07-S24ECA-00,JS(????)
17,1,10uH,L1,IND-SMD_L4.0-W4.0_LQH44PN2R2MP0L,10uH,SMNR4020-10UH,SXN(???)
18,1,WS2812B-2020,LED1,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,,WS2812B-2020,worldsemi
19,3,XL-1608SURC-06,"LED2,LED4,LED6",LED0603-RD_RED,,XL-1608SURC-06,XINGLIGHT(???)
20,1,XL-1608UGC-04,LED3,LED0603-RD_GREEN,,XL-1608UGC-04,XINGLIGHT(???)
21,1,UMH3N,Q1,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR,,UMH3N,CJ(????/??)
22,1,L2N7002SLLT1G,Q2,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,,L2N7002SLLT1G,LRC(?????)
23,1,SI2301,Q3,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,SI2301,YONGYUTAI(???)
24,4,100k?,"R1,R18,R31,R37",R0603,100k?,RC0603FR-07100KL,YAGEO(??)
25,2,220?,"R2,R36",R0603,220?,0603WAF2200T5E,UNI-ROYAL(??)
26,2,5.1k?,"R3,R12",R0603,5.1k?,0603WAF5101T5E,UNI-ROYAL(??)
27,2,5.11k?,"R4,R5",R0603,5.11k?,TC0350B5111T5E,UNI-ROYAL(??)
28,1,22?,R6,R0603,22?,0603WAF220JT5E,UNI-ROYAL(??)
29,2,0?,"R7,R8",R0603,0?,FRC0603F0000TS,FOJAN(??)
30,2,100?,"R9,R10",R0603,100?,0603WAF1000T5E,UNI-ROYAL(??)
31,3,10k?,"R11,R13,R28",R0603,10k?,FRC0603F1002TS,FOJAN(??)
32,1,400m?,R14,R0603,,FRL0603FR400TS,FOJAN(??)
33,3,4.7k?,"R16,R21,R23",R0603,4.7k?,RC0603FR-074K7L,YAGEO(??)
34,2,10k?,"R17,R20",R0603,10k?,FRC0603J103 TS,FOJAN(??)
35,1,2k?,R19,R0603,2k?,FRC0603J202 TS,FOJAN(??)
36,1,910k?,R25,R0603,910k?,0603WAF9103T5E,UNI-ROYAL(??)
37,2,1k?,"R29,R30",R0603,1k?,RC0603FR-071KL,YAGEO(??)
38,2,TS-1101-C-W,"SW1,SW2",SW-SMD_L6.0-W3.3-LS8.0,,TS-1101-C-W,XKB Connectivity(????)
39,1,SK-3245S-L3-B,SW3,SW-SMD_SK-3245S-L3-B,,SK-3245S-L3-B,XKB Connectivity(????)
40,1,ESP32-S3-WROOM-1-N16R2,U1,WIRELM-SMD_ESP32-S3-WROOM-1,,ESP32-S3-WROOM-1-N16R2,ESPRESSIF(??)
41,1,CH340C,U2,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,,CH340C,WCH(????)
42,1,AMS1117-3.3,U4,SOT-223-3_L6.5-W3.5-P3.05-LS7.0,,AMS1117-3.3,TWGMC(????)
43,1,MT3540-F23,U6,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,,MT3540-F23,??????
44,1,TP4054,U7,TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,,TP4054,UMW(?????)
45,1,TYPE-C 16PIN 2MD(073),USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,,TYPE-C 16PIN 2MD(073),SHOU HAN(??)
,,,,,,,
